#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisit[This.GetEurRice];[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;l'Inquisitore;;;;;;;;x
EVTDESC_MNM_7052;I can feel it, it is inside of me! The mesmerizing voice, the sweet touch of my dark saviour! [Root.GetDWDevil]'s gift, the beautiful magic, is flowing freely through my veins. The sensation is dizzying, radiant, breathtaking. Nothing in the world can stop me now!;Je peux le sentir, c'est à l'intérieur de moi ! La voix hypnotisante, le doux contact de mon sombre sauveur ! Le cadeau [Root.GetDWDevilDuDela], la belle magie, coule librement dans mes veines. La sensation est étourdissante, radieuse, à couper le souffle. Rien au monde ne peut m'arrêter maintenant !;Ich kann sie fühlen. Sie steckt tief in meinem Innern! Die betörende Stimme, die liebliche Berührung meines dunklen Erlösers! Das Geschenk von [Root.GetDWDevil], die schöne Magie, strömt ungehindert durch meine Adern. Das Gefühl ist schwindelerregend, strahlend, atemberaubend. Jetzt kann mich nichts in der Welt aufhalten!;;¡Lo siento, está dentro de mí! ¡Esa voz hipnotizante, el dulce tacto de mi oscuro salvador! El regalo de [Root.GetDWDevil], la bella magia, fluye libre por mis venas. La sensación es vertiginosa, radiante, sobrecogedora. ¡Ahora nada puede detenerme!;Posso sentirlo, è dentro di me! La voce affascinante, il dolce tocco del mio oscuro salvatore! Il dono di [Root.GetDWDevil], la bella magia, scorre liberamente attraverso le mie vene. La sensazione è vertiginosa, radiosa, mozzafiato. Niente al mondo mi può fermare adesso!;;;;;;;;x
EVTOPTA_MNM_7052;[Root.GetDWDevil]! Whisper your wishes in my ear and they shall come true!;[Root.GetDWDevil] ! Chuchotez vos souhaits dans mon oreille et ils se réaliseront !;[Root.GetDWDevil]! Flüstert Eure Wünsche in mein Ohr und sie werden in Erfüllung gehen!;;¡[Root.GetDWDevil]! ¡Susúrrame tus deseos y se harán realidad!;[Root.GetDWDevil]! Sussurrami i tuoi desideri nell'orecchio e saranno realizzati!;;;;;;;;x
EVTOPTA_MNM_7051_TT;The use of dark magic has corrupted you.\n;L'utilisation de la magie noire vous a corrompu.\n;Die Verwendung dunkler Magie hat Euch verdorben.\n;;El uso de la magia oscura te ha corrompido.\n;L'uso della magia oscura ti ha corrotto.\n;;;;;;;;x
EVTDESC_MNM_7053;The corruption crept up on me so slowly - I did not realize what was happening to me before it was too late. The dark tendrils of [Root.GetDWDevil]'s magic has invaded my mouth and twisted around my tongue. As I attempt to speak, my words fail me, making social interaction awkward and the casting of spells tedious and draining.;La dépravation s'est emparée de moi si lentement - je n'ai pas réalisé ce qui m'arrivait avant qu'il ne soit trop tard. Maintenant, les vrilles maléfiques de la magie [Root.GetDWDevilDuDela] ont envahi ma bouche et se sont enroulées autour de ma langue. Quand j'essaie de parler, les paroles me manquent, rendant l'interaction sociale maladroite et jeter des sorts est fastidieux et épuisant.;Die Verderbtheit hat mich ganz langsam befallen. Erst als es zu spät war, merkte ich, was mit mir geschah. Die dunklen Ranken der Magie von [Root.GetDWDevil] sind in meinen Mund eingedrungen und haben sich um meine Zunge gewickelt. Wenn ich zu sprechen versuche, bringe ich keine Worte heraus, was jegliche Geselligkeit verdirbt und das Aussprechen von Zaubersprüchen zu einem mühseligen und ermüdenden Unterfangen macht.;;La corrupción fue creciendo en mí progresivamente. No me di cuenta de lo que me ocurría hasta que fue demasiado tarde. Los zarcillos de la magia de [Root.GetDWDevil] invaden mi boca y me aprisionan la lengua. Cuando trato de hablar, me fallan las palabras, entorpeciendo mis relaciones sociales, y lanzar hechizos es tedioso y agotador.;La corruzione si è impossessata di me lentamente - non mi sono reso conto di quello che mi stava succedendo fino a quando non è stato troppo tardi. Ora i lacci scuri della magia di [Root.GetDWDevil] hanno invaso la mia bocca e si sono attorcigliati intorno alla mia lingua. Mentre cerco di parlare, mi mancano le mie parole, rendendo l'interazione sociale difficile e il lancio degli incantesimi noioso e spossante.;;;;;;;;x
EVTDESC_MNM_7054;The corruption crept up on me so slowly - I did not realize what was happening to me before it was too late. What was first the lightest of limps has now turned into a hideous deformity. When I rub my sore, twisted ankles, I can feel the darkness pulsing just under my skin...;La dépravation s'est emparée de moi si lentement - je n'ai pas réalisé ce qui m'arrivait avant qu'il ne soit trop tard. Ce qui était d'abord le plus léger des boitements est maintenant devenu une hideuse difformité. Quand je frotte mes chevilles douloureuses et tordues, je peux sentir l'obscurité frémir juste sous ma peau...;Die Verderbtheit hat mich ganz langsam befallen. Erst als es zu spät war, merkte ich, was mit mir geschah. Was als leichtes Hinken begann, ist jetzt zu einer abscheulichen Verunstaltung geworden. Wenn ich meine schmerzenden, verdrehten Knöchel massiere, kann ich die Dunkelheit dicht unter meiner Haut pulsieren spüren ...;;La corrupción fue creciendo en mí progresivamente. No me di cuenta de lo que me ocurría hasta que fue demasiado tarde. Lo que antes era una extremidad ligera se ha convertido en una deformidad abominable. Cuando me masajeo los tobillos, torcidos e hinchados, siento la oscuridad latiendo bajo mi piel...;La corruzione si è impossessata di me lentamente - non mi sono reso conto di quello che mi stava succedendo fino a quando non è stato troppo tardi. Quello che prima era un leggero zoppicamento ora si è trasformato in una orribile deformità. Quando mi massaggio le mie dolenti, caviglie ritorte, posso sentire l'oscurità pulsare sotto la mia pelle...;;;;;;;;x
EVTDESC_MNM_7055;The corruption crept up on me so slowly - I did not realize what was happening to me before it was too late. Little by little, my spine has curved itself forward, pushing my head down towards the ground. It is as if the dark magic has twisted me away from the heavens so that I am always facing [Root.GetDWDevil].;La dépravation s'est emparée de moi si lentement - je n'ai pas réalisé ce qui m'arrivait avant qu'il ne soit trop tard. Peu à peu, ma colonne vertébrale s'est courbée vers l'avant, poussant ma tête vers le sol. C'est comme si la magie noire m'avait éloigné[Root.Get_E] des cieux, de sorte que je suis toujours face à [Root.GetDWDevil].;Die Verderbtheit hat mich ganz langsam befallen. Erst als es zu spät war, merkte ich, was mit mir geschah. Stück für Stück hat sich meine Wirbelsäule nach vorne gekrümmt und drückt meinen Kopf zum Boden hinab. Es ist so, als hätte die dunkle Magie mich vom Himmel weggedreht, damit ich immer [Root.GetDWDevil] zugewandt bin.;;La corrupción fue creciendo en mí progresivamente. No me di cuenta de lo que me ocurría hasta que fue demasiado tarde. Poco a poco, se me ha encorvado la espalda hacia delante, empujándome la cabeza hacia el suelo. Es como si la magia oscura me hubiese inclinado, alejándome del cielo para estar siempre de frente a [Root.GetDWDevil].;La corruzione si è impossessata di me lentamente - non mi sono reso conto di quello che mi stava succedendo fino a quando non è stato troppo tardi. A poco a poco, la mia spina dorsale si è curvata in avanti, spingendo la mia testa verso il basso. È come se la magia oscura mi avesse allontanato dai cieli cosicché io sia sempre davanti a [Root.GetDWDevil].;;;;;;;;x
EVTDESC_MNM_7056;The corruption crept up on me so slowly - I did not realize what was happening to me before it was too late. At first, I thought the lines and blotches on my face were a temporary consequence of too many nightly adventures and too little sleep. Now I barely recognize myself in the mirror.;La dépravation s'est emparée de moi si lentement - je n'ai pas réalisé ce qui m'arrivait avant qu'il ne soit trop tard. Au début, je pensais que les rides et les taches sur mon visage étaient une conséquence temporaire d'un excès d'aventures nocturnes et du manque de sommeil. À présent, je me reconnais à peine dans le miroir.;Die Verderbtheit hat mich ganz langsam befallen. Erst als es zu spät war, merkte ich, was mit mir geschah. Zuerst hielt ich die Linien und Flecken in meinem Gesicht für eine vorübergehende Folge von zu vielen nächtlichen Abenteuern und zu wenig Schlaf. Jetzt erkenne ich mich im Spiegel kaum wieder.;;La corrupción fue creciendo en mí progresivamente. No me di cuenta de lo que me ocurría hasta que fue demasiado tarde. Al principio pensé que las líneas y las manchas de mi rostro serían una consecuencia temporal de tantas andanzas nocturnas y falta de sueño. Ahora, apenas puedo reconocerme en el espejo.;La corruzione si è impossessata di me lentamente - non mi sono reso conto di quello che mi stava succedendo fino a quando non è stato troppo tardi. All'inizio pensavo che le linee e le macchie sul mio viso fossero una conseguenza temporanea delle troppe avventure notturne e del poco sonno. Adesso mi riconosco a malapena nello specchio.;;;;;;;;x
EVTDESC_MNM_7057;The corruption crept up on me so slowly - I did not realize what was happening to me before it was too late. Now the dark tendrils of [Root.GetDWDevil]'s magic has invaded my body, sapping my energy and causing all sorts of aches and ailments. I cannot remember the last day when I was not sniveling, coughing or retching.;La dépravation s'est emparée de moi si lentement - je n'ai pas réalisé ce qui m'arrivait avant qu'il ne soit trop tard. Les vrilles maléfiques de la magie [Root.GetDWDevilDuDela] ont envahi mon corps, minant mon énergie et causant toutes sortes de maux. Je ne me souviens pas du dernier jour sans avoir eu le nez qui coule, la toux ou des vomissements.;Die Verderbtheit hat mich ganz langsam befallen. Erst als es zu spät war, merkte ich, was mit mir geschah. Jetzt sind die dunklen Ranken der Magie von [Root.GetDWDevil] in meinen Körper eingedrungen und zehren an meiner Energie und verursachen alle möglichen Schmerzen und Leiden. Ich kann mich nicht mehr daran erinnern, wann ich zuletzt nicht geschnieft, gehustet oder gewürgt habe.;;La corrupción fue creciendo en mí progresivamente. No me di cuenta de lo que me ocurría hasta que fue demasiado tarde. Ahora, los zarcillos de la magia de [Root.GetDWDevil] invaden mi cuerpo y sorben mi energía, provocando todo tipo de dolor y enfermedad. Ya no recuerdo la última vez que no me quejaba, tosía ni sentía arcadas.;La corruzione si è impossessata di me lentamente - non mi sono reso conto di quello che mi stava succedendo fino a quando non è stato troppo tardi. Ora i lacci scuri della magia di [Root.GetDWDevil] hanno invaso il mio corpo, fiaccando la mia energia e causandomi ogni sorta di dolore e malattia. Non ricordo più quando sia stata l'ultima volta che non mi sia lamentando, non abbia tossito o non abbia avuto i conati di vomito.;;;;;;;;x
EVTDESC_MNM_7058;The corruption crept up on me so slowly - I did not realize what was happening to me before it was too late. Now the dark tendrils of [Root.GetDWDevil]'s magic has invaded my body, sapping my energy and causing all sorts of aches and ailments. No matter how long I sleep, I never feel quite rested.;La dépravation s'est emparée de moi si lentement - je n'ai pas réalisé ce qui m'arrivait avant qu'il ne soit trop tard. Les vrilles maléfiques de la magie [Root.GetDWDevilDuDela] ont envahi mon corps, minant mon énergie et provoquant toutes sortes de maux. Peu importe combien de temps je dors, je ne me sens jamais assez reposé[Root.Get_E].;Die Verderbtheit hat mich ganz langsam befallen. Erst als es zu spät war, merkte ich, was mit mir geschah. Jetzt sind die dunklen Ranken der Magie von [Root.GetDWDevil] in meinen Körper eingedrungen und zehren an meiner Energie und verursachen alle möglichen Schmerzen und Leiden. Wie lange ich auch immer schlafe, so fühle ich mich doch nie richtig ausgeruht.;;La corrupción fue creciendo en mí progresivamente. No me di cuenta de lo que me ocurría hasta que fue demasiado tarde. Ahora, los zarcillos de la magia de [Root.GetDWDevil] invaden mi cuerpo y sorben mi energía, provocando todo tipo de dolor y enfermedad. Por mucho que duerma, nunca siento haber descansado suficiente.;La corruzione si è impossessata di me lentamente - non mi sono reso conto di quello che mi stava succedendo fino a quando non è stato troppo tardi. Ora i lacci scuri della magia di [Root.GetDWDevil] hanno invaso il mio corpo, fiaccando la mia energia e causandomi ogni sorta di dolore e malattia. Non importa quanto tempo riesca a dormire, non mi sento mai abbastanza riposato.;;;;;;;;x
EVTDESC_MNM_7059;The corruption crept up on me so slowly - I did not realize what was happening to me before it was too late. Now the dark tendrils of [Root.GetDWDevil]'s magic has invaded my body, sapping all of my energy and strength. I often feel as if I am starving, yet I struggle to keep my food down...;La dépravation s'est emparée de moi si lentement - je n'ai pas réalisé ce qui m'arrivait avant qu'il ne soit trop tard. Les vrilles maléfiques de la magie [Root.GetDWDevilDuDela] ont envahi mon corps, minant toute mon énergie. Je me sens souvent comme affamé[Root.Get_E], alors que je lutte pour ne pas vomir...;Die Verderbtheit hat mich ganz langsam befallen. Erst als es zu spät war, merkte ich, was mit mir geschah. Jetzt sind die dunklen Ranken der Magie von [Root.GetDWDevil] in meinen Körper eingedrungen und zehren an meiner ganzen Energie und Stärke. Ich habe oft das Gefühl, Hunger zu leiden, muss mich aber gleichzeitig bemühen, das Essen bei mir zu behalten ...;;La corrupción fue creciendo en mí progresivamente. No me di cuenta de lo que me ocurría hasta que fue demasiado tarde. Ahora, los zarcillos de la magia de [Root.GetDWDevil] invaden mi cuerpo y sorben mi energía y fuerza. A menudo tengo la sensación de morir de hambre, pero me cuesta mantener la comida en el estómago...;La corruzione si è impossessata di me lentamente - non mi sono reso conto di quello che mi stava succedendo fino a quando non è stato troppo tardi. Ora i lacci scuri della magia di [Root.GetDWDevil] hanno invaso il mio corpo, fiaccando la mia energia e forza. Spesso mi sento morire di fame, ma non riesco a tenere il cibo nello stomaco ...;;;;;;;;x
String_garden;garden;jardin;Garten;;jardín;giardino;;;;;;;;x
String_Hibiscus;Hibiscus;hibiscus;Hibiskus;;hibisco;Ibisco;;;;;;;;x
String_Ginger_Root;Ginger Root;racine de gingembre;Ingwerwurzel;;rizoma de jengibre;Radice di Zenzero;;;;;;;;x
String_Mandrake;Mandrake;mandragore;Alraune;;mandrágora;Mandragora;;;;;;;;x
String_Lemon_Grass;Lemon Grass;citronnelle;Zitronengras;;citronela;Citronella;;;;;;;;x
String_Nettles;Nettles;orties;Brennnesseln;;ortigas;Ortiche;;;;;;;;x
String_Wormwood;Wormwood;absinthe;Wermut;;ajenjo;Assenzio;;;;;;;;x
String_Valerian;Valerian;valériane;Baldrian;;valeriana;Valeriana;;;;;;;;x
String_Violet;Violet;violette;Veilchen;;violeta;Violetta;;;;;;;;x
String_Yarrow;Yarrow;achillée;Schafgarbe;;milenrama;Millefoglie;;;;;;;;x
String_Gall_Bladder;Gall Bladder;vésicule biliaire;Gallenblase;;vesícula;Cistifellea;;;;;;;;x
String_Kidney;Kidney;rein;Niere;;riñón;Rene;;;;;;;;x
String_Eyeballs;Eyeballs;yeux;Augäpfel;;ojos;Occhi;;;;;;;;x
String_Cloven_hooves;Cloven Hooves;sabots fendus;Gespaltene Hufe;;pezuñas hendidas;Zoccoli Fessi;;;;;;;;x
String_Antlers;Antlers;bois de cerf;Geweih;;astas;Corna;;;;;;;;x
String_Snout;Snout;museau;Schnauze;;hocicos;Muso;;;;;;;;x
String_Heart;Heart;coeur;Herz;;corazón;Cuore;;;;;;;;x
String_Liver;Liver;foie;Leber;;hígado;Fegato;;;;;;;;x
String_Intestines;Intestines;intestins;Gedärme;;intestinos;Intestini;;;;;;;;x
String_Silver;Silver;argent;Silber;;plata;Argento;;;;;;;;x
String_Mercury;Mercury;mercure;Quecksilber;;mercurio;Mercurio;;;;;;;;x
String_Aqua_Regia;Aqua Regia;eau régale;Königswasser;;agua regia;Acqua Regia;;;;;;;;x
String_Aqua_Fortis;Aqua Fortis;eau-forte;Salpetersäure;;aqua fortis;Acqua Forte;;;;;;;;x
String_Brimstone;Brimstone;soufre;Schwefel;;azufre;Zolfo;;;;;;;;x
String_Gold;Gold;or;Gold;;oro;Oro;;;;;;;;x
String_Copper;Copper;cuivre;Kupfer;;cobre;Rame;;;;;;;;x
String_Iron;Iron;fer;Eisen;;hierro;Ferro;;;;;;;;x
String_Tin;Tin;étain;Zinn;;estaño;Stagno;;;;;;;;x
String_crescent;crescent symbol;un symbole du Croissant;Mondsichelsymbol;;símbolo de la medialuna;simbolo della mezzaluna;;;;;;;;x
EVTOPTD_MNM_1200_herb;Some crushed [GetSelectedIngredient_1] shall help form the pattern.;Écraser puis ajouter [Get_du_SelectedIngredient_1] aidera à voir les formes.;Etwas zerdrücktes [GetSelectedIngredient_1] wird helfen, das Muster zu formen.;;Machacar y añadir algo de [GetSelectedIngredient_1] ayudaría a formar el patrón.;Schiacciare e mescolare un po' di [GetSelectedIngredient_1] aiuterà a plasmare la forma.;;;;;;;;x
EVTOPTD_MNM_1200_animal_part;Actually, I should add some ground [GetSelectedIngredient_1] to help form the pattern.;En fait, je devrais ajouter [Get_du_SelectedIngredient_1] pour que les formes apparaissent mieux.;Ich sollte etwas zermahlenes [GetSelectedIngredient_1] hinzugeben, um zu helfen, das Muster zu formen.;;Debería machacar [GetSelectedIngredient_1] para ayudar a formar el patrón.;In realtà, dovrei aggiungere un po' di [GetSelectedIngredient_1] per contribuire a a plasmare la forma.;;;;;;;;x
EVTOPTD_MNM_1200_powder;Surely a sprinkle of [GetSelectedIngredient_1] will add to the pattern.;Assurément, saupoudrer [Get_du_SelectedIngredient_1] aidera les formes.;Eine Prise [GetSelectedIngredient_1] wird dem Muster sicher förderlich sein.;;Seguro que una pizca de [GetSelectedIngredient_1] acentuará el patrón.;Sicuramente una spruzzata di [GetSelectedIngredient_1] aiuterà a plasmare la forma.;;;;;;;;x
